source,target
"rimouski | climate , economy , municipal council , history",What do you want to know about the place?
"cyst on face | causes , treatment",What do you want to know about this condition?
"1955 chevy truck for sale | 1955 chevy truck for sale craigslist , ebay",What marketplace are you looking for?
"i t | job description , salary",What job information are you looking for?
"harris county texas | map , news , population",What would you like to know about harris county texas?
"cras | conservatory of recording arts , clinical research associate staffing","Which ""cras"" do you mean?"
"unhide all in excel | unhide all in excel 2010 , excel 2013 , unhide all in excel 2016",What version of Excel are you looking for?
"cook chevrolet | local map , services , business information",What do you want to know about this business?
"control center 4 brother download | windows 10 , windows 8 , windows 7 , windows vista",What version of Windows are you looking for?
"vvd | valsts vides dienests , video voice data , viet vo dao","Which ""vvd"" do you mean?"
"paramount 90th anniversary | paramount 90th anniversary dvd , paramount 90th anniversary vhs",What format are you looking for?
"ppr fantasy football rankings | rb , wr",What position are you looking for?
"wbch | world's best country hits , william byrd community house , west berkshire community hospital","Which ""wbch"" do you mean?"
"dyersville iowa | zip code , population , homes for sale , weather",What would you like to know about this city?
"intracranial hypotension | treatment , causes",What do you want to know about this condition?
"ccim | certified commercial investment member , client component installation manager","Which ""ccim"" do you mean?"
"ppdc | pesticide program dialogue committee , pan pacific defense corps , plant and pest diagnostic clinic","Which ""ppdc"" do you mean?"
"ifmg | inland faculty medical group , independent financial marketing group","Which ""ifmg"" do you mean?"
"hrrp | hospital readmissions reduction program , housing recovery and reconstruction platform , high readmission rates for patients","Which ""hrrp"" do you mean?"
"the legend of sleepy hollow | summary , who wrote , characters , audiobook",What would you like to know about this book?
"csru | child support recovery unit , community stabilization and reintegration unit , created service resource utilization","Which ""csru"" do you mean?"
"luke 6:36 | esv , kjv , niv , nlt",What Bible translation are you looking for?
"chest muscles | work out chest muscles , strengthen chest muscles",What do you want to do with chest muscles?
"antica | most popular , beverages , antipasto , antica pasta , pollo",What do you want to know about this restaurant?
"knauz bmw | shops photo , local map , services , business information",What do you want to know about this business?
"christmas sweaters | for women , for men",Who are you shopping for?
"hi five | hi-five songs , hi-five albums , hi-five music videos",What would you like to know about hi-five?
"one pocket | handicapping , set up , history",What do you want to know about one-pocket?
"snpa | southern newspaper publishers association , society for nordish physical anthropology , sidlakan nergos producers association","Which ""snpa"" do you mean?"
"vmcc | vintage motor cycle club , vehicle management control center , vahlteich medicinal chemistry core","Which ""vmcc"" do you mean?"
"opeb | other post employment benefits , ordinary potential energy box","Which ""opeb"" do you mean?"
"srsc | student recreational sports center , skagit river system cooperative , social recruiting strategies conference","Which ""srsc"" do you mean?"
"san dimas california | map , news , zip code , weather",What would you like to know about this city?
"mirror image in word | mirror image in word 2010 , mirror image in word 2016 , word 2007 , word 2013",What version of Word are you looking for?
"rovr | remote online veterinary record , retro oem video repository , rapidly operational virtual reality","Which ""rovr"" do you mean?"
"irrc | investor responsibility research center , independent regulatory review commission , international road racing championship","Which ""irrc"" do you mean?"
